cpus,batch_size,total_batches,no_params,epoch_no,duration
8,32,1563,57044810,0,14.700206518173218
8,32,1563,57044810,0,10.996328115463257
8,32,1563,57044810,0,9.292307376861572
8,32,1563,57044810,0,7.598737716674805
8,32,1563,57044810,0,6.493986368179321
8,32,1563,57044810,0,6.199021816253662
8,32,1563,57044810,0,6.584167718887329
8,32,1563,57044810,0,5.906330347061157
8,32,1563,57044810,0,6.694244146347046
8,32,1563,57044810,0,6.096501588821411
8,32,1563,57044810,0,7.0946221351623535
8,32,1563,57044810,1,6.0936853885650635
8,32,1563,57044810,1,6.7986602783203125
8,32,1563,57044810,1,6.099050045013428
8,32,1563,57044810,1,6.403875112533569
8,32,1563,57044810,1,6.395004749298096
8,32,1563,57044810,1,6.098111152648926
8,32,1563,57044810,1,6.905245304107666
8,32,1563,57044810,1,6.3037497997283936
8,32,1563,57044810,1,6.292556524276733
8,32,1563,57044810,1,5.9014856815338135
8,32,1563,57044810,1,5.99579644203186
8,32,1563,57044810,2,6.291459083557129
8,32,1563,57044810,2,6.880791187286377
8,32,1563,57044810,2,6.29872465133667
8,32,1563,57044810,2,6.106595039367676
8,32,1563,57044810,2,6.297739744186401
8,32,1563,57044810,2,5.6977410316467285
8,32,1563,57044810,2,6.194713592529297
8,32,1563,57044810,2,6.3986780643463135
8,32,1563,57044810,2,6.0948216915130615
8,32,1563,57044810,2,6.2080347537994385
8,32,1563,57044810,2,6.393793344497681
8,32,1563,57044810,3,5.798821210861206
8,32,1563,57044810,3,5.802154064178467
8,32,1563,57044810,3,6.100023508071899
8,32,1563,57044810,3,5.91190505027771
8,32,1563,57044810,3,6.394011497497559
8,32,1563,57044810,3,6.196204900741577
8,32,1563,57044810,3,6.1007726192474365
8,32,1563,57044810,3,6.208338022232056
8,32,1563,57044810,3,5.893503427505493
8,32,1563,57044810,3,6.305020809173584
8,32,1563,57044810,3,6.897369623184204
8,32,1563,57044810,4,6.789368629455566
8,32,1563,57044810,4,5.906249523162842
8,32,1563,57044810,4,7.792917490005493
8,32,1563,57044810,4,6.4990761280059814
8,32,1563,57044810,4,5.909198760986328
8,32,1563,57044810,4,6.207727670669556
8,32,1563,57044810,4,6.014211654663086
8,32,1563,57044810,4,6.208222150802612
8,32,1563,57044810,4,6.808653354644775
8,32,1563,57044810,4,6.298584461212158
8,32,1563,57044810,4,6.393939018249512
8,32,1563,41206970,0,6.703293085098267
8,32,1563,41206970,0,8.299702644348145
8,32,1563,41206970,0,6.8939268589019775
8,32,1563,41206970,0,5.61214280128479
8,32,1563,41206970,0,7.010055303573608
8,32,1563,41206970,0,6.407949447631836
8,32,1563,41206970,0,7.193524360656738
8,32,1563,41206970,0,5.800065517425537
8,32,1563,41206970,0,6.205285549163818
8,32,1563,41206970,0,5.796149969100952
8,32,1563,41206970,0,4.903078079223633
8,32,1563,41206970,1,5.794768571853638
8,32,1563,41206970,1,5.4967360496521
8,32,1563,41206970,1,5.303775787353516
8,32,1563,41206970,1,5.605458736419678
8,32,1563,41206970,1,5.397833347320557
8,32,1563,41206970,1,5.795302152633667
8,32,1563,41206970,1,5.821326494216919
8,32,1563,41206970,1,5.496483087539673
8,32,1563,41206970,1,5.805255174636841
8,32,1563,41206970,1,6.0059754848480225
8,32,1563,41206970,1,5.19741678237915
8,32,1563,41206970,2,5.39930272102356
8,32,1563,41206970,2,5.595019817352295
8,32,1563,41206970,2,5.2962164878845215
8,32,1563,41206970,2,5.393408298492432
8,32,1563,41206970,2,5.201725006103516
8,32,1563,41206970,2,6.301484107971191
8,32,1563,41206970,2,5.096361398696899
8,32,1563,41206970,2,6.289897203445435
8,32,1563,41206970,2,5.203611373901367
8,32,1563,41206970,2,6.189194917678833
8,32,1563,41206970,2,5.693177700042725
8,32,1563,41206970,3,5.40785813331604
8,32,1563,41206970,3,5.610882043838501
8,32,1563,41206970,3,5.29874587059021
8,32,1563,41206970,3,6.098734617233276
8,32,1563,41206970,3,5.492474317550659
8,32,1563,41206970,3,5.293980836868286
8,32,1563,41206970,3,4.998820781707764
8,32,1563,41206970,3,5.804139137268066
8,32,1563,41206970,3,5.705109596252441
8,32,1563,41206970,3,5.7962751388549805
8,32,1563,41206970,3,5.40410590171814
8,32,1563,41206970,4,5.3020994663238525
8,32,1563,41206970,4,5.299983263015747
8,32,1563,41206970,4,5.299892425537109
8,32,1563,41206970,4,5.414845705032349
8,32,1563,41206970,4,5.504331111907959
8,32,1563,41206970,4,5.798801422119141
